BioProject,BioSample,Sample,Species,mean.dep,mean.miss,Isolate,Origin,highMiss,lat,long,Continent,cloneID
PRJNA292080,SAMN03964760,SRR2148399,Daphnia pulicaria,16.2069,0.202876,,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964761,SRR2148400,Daphnia pulicaria,17.7207,0.193196,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964762,SRR2148401,Daphnia pulicaria,15.5767,0.106054,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964763,SRR2148402,Daphnia pulicaria,6.42089,0.121987,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964764,SRR2148403,Daphnia pulicaria,12.9499,0.113651,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964765,SRR2148404,Daphnia pulicaria,10.8341,0.111744,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964766,SRR2148405,Daphnia pulicaria,16.6828,0.101155,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964767,SRR2148406,Daphnia pulicaria,15.5074,0.111326,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964768,SRR2148407,Daphnia pulicaria,15.0506,0.103081,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA292080,SAMN03964769,SRR2148408,Daphnia pulicaria,14.9048,0.109719,,SRA,N_notPulex,NA,NA,NorthAmerica,NA
PRJNA302704,SAMN04277921,SRR2968969,Daphnia pulex,7.39269,0.0573538,clone from a parthenogenetic population in a pond,SRA,N,54.6872,25.2797,Europe,NA
PRJNA307976,SAMN04385829,SRR3090572,Daphnia pulex,45.3517,0.0999368,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA307976,SAMN04385829,SRR3090573,Daphnia pulex,7.18118,0.129422,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA307976,SAMN04385829,SRR3090581,Daphnia pulex,28.7605,0.104822,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA307976,SAMN04385829,SRR3090688,Daphnia pulex,87.4978,0.0971032,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA307976,SAMN04385829,SRR3090699,Daphnia pulex,22.5398,0.111943,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA307976,SAMN04385829,SRR3090704,Daphnia pulex,10.7337,0.120494,,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004854,Daphnia pulex,18.1219,0.0992739,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004855,Daphnia pulex,21.16,0.0970134,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004857,Daphnia pulex,26.6051,0.094479,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004858,Daphnia pulex,20.6627,0.100908,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004859,Daphnia pulex,4.23428,0.162229,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004860,Daphnia pulex,23.8222,0.0964263,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004861,Daphnia pulex,37.835,0.0936909,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004862,Daphnia pulex,19.198,0.0977362,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004863,Daphnia pulex,18.2458,0.0975186,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004864,Daphnia pulex,15.6847,0.098517,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004865,Daphnia pulex,14.0513,0.102683,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004866,Daphnia pulex,9.97729,0.10459,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004867,Daphnia pulex,23.3738,0.0939488,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004868,Daphnia pulex,26.3976,0.0960636,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004869,Daphnia pulex,29.1741,0.0948876,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004870,Daphnia pulex,19.1791,0.0984959,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004871,Daphnia pulex,19.3447,0.0996107,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004872,Daphnia pulex,18.1336,0.103152,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004873,Daphnia pulex,25.9795,0.0988571,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004874,Daphnia pulex,11.2368,0.103669,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004875,Daphnia pulex,20.1369,0.0978382,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004876,Daphnia pulex,11.1008,0.103281,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004877,Daphnia pulex,21.5223,0.0958402,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004878,Daphnia pulex,21.8954,0.097323,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004879,Daphnia pulex,19.1424,0.0978116,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004880,Daphnia pulex,7.65255,0.111441,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004881,Daphnia pulex,18.9567,0.0991407,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004883,Daphnia pulex,16.9731,0.101342,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004885,Daphnia pulex,22.1835,0.0964346,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004886,Daphnia pulex,10.3059,0.106767,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004887,Daphnia pulex,8.29864,0.114206,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004888,Daphnia pulex,26.3945,0.0984011,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004889,Daphnia pulex,18.3778,0.0990903,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004890,Daphnia pulex,7.02971,0.131967,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004892,Daphnia pulex,22.0171,0.0989378,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004893,Daphnia pulex,18.9182,0.0996437,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004895,Daphnia pulex,46.7976,0.0919786,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004897,Daphnia pulex,17.9144,0.0994866,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004898,Daphnia pulex,19.6068,0.098583,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004899,Daphnia pulex,14.5593,0.101657,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004900,Daphnia pulex,6.28294,0.120559,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004901,Daphnia pulex,17.9325,0.0989179,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004902,Daphnia pulex,18.4853,0.0996312,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004903,Daphnia pulex,16.2432,0.097591,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004904,Daphnia pulex,31.3101,0.0938929,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004905,Daphnia pulex,23.6343,0.0974562,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004906,Daphnia pulex,19.0485,0.100446,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004907,Daphnia pulex,18.9214,0.0999897,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004908,Daphnia pulex,19.7459,0.0987608,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004909,Daphnia pulex,27.9401,0.0961036,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004910,Daphnia pulex,8.71169,0.110004,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004911,Daphnia pulex,19.0799,0.0989057,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004912,Daphnia pulex,8.55779,0.110059,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004913,Daphnia pulex,21.6318,0.096121,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004914,Daphnia pulex,19.3771,0.0989879,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004915,Daphnia pulex,16.5946,0.100059,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004916,Daphnia pulex,20.8736,0.096709,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004917,Daphnia pulex,25.1925,0.0963524,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004918,Daphnia pulex,7.23743,0.12172,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004919,Daphnia pulex,14.3683,0.0994002,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004920,Daphnia pulex,19.0126,0.0978902,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004921,Daphnia pulex,24.1694,0.0967723,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004922,Daphnia pulex,19.0169,0.0963194,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004923,Daphnia pulex,20.0008,0.0970366,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004924,Daphnia pulex,19.5586,0.0999362,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004925,Daphnia pulex,13.5833,0.104692,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004926,Daphnia pulex,26.1435,0.0945206,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004927,Daphnia pulex,13.8493,0.101729,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004928,Daphnia pulex,24.0697,0.0952229,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004929,Daphnia pulex,16.6674,0.0987229,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004930,Daphnia pulex,10.5603,0.10443,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004931,Daphnia pulex,20.2225,0.0964422,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004932,Daphnia pulex,17.7059,0.0988877,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004964,Daphnia pulex,19.7142,0.100599,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004965,Daphnia pulex,19.8953,0.100206,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN06005639,SRR5004987,Daphnia pulex,16.6659,0.0992724,KAP,SRA,N,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012393,Daphnia obtusa,6.46531,0.305806,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012394,Daphnia obtusa,6.29321,0.337718,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012395,Daphnia obtusa,6.51193,0.306551,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012396,Daphnia obtusa,6.46053,0.333927,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012770,Daphnia obtusa,3.14057,0.415944,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012771,Daphnia obtusa,5.56722,0.323797,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012772,Daphnia obtusa,5.57361,0.321518,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA351263,SAMN05980085,SRR5012773,Daphnia obtusa,3.27069,0.410092,not collected,SRA,Y_notPulex,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098783,Daphnia pulex,25.5589,0.0957079,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098784,Daphnia pulex,21.9597,0.101013,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098785,Daphnia pulex,24.487,0.0985918,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098786,Daphnia pulex,24.6453,0.101192,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098795,Daphnia pulex,52.6512,0.100664,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098796,Daphnia pulex,38.5256,0.0892291,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098803,Daphnia pulex,37.4774,0.0871525,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5098804,Daphnia pulex,33.1354,0.0906242,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5099736,Daphnia pulex,26.8867,0.102589,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5099737,Daphnia pulex,30.411,0.101153,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA355243,SAMN06066755,SRR5103867,Daphnia pulex,29.2039,0.10768,EB-00008,SRA,N,NA,NA,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609373,Daphnia pulex,15.8468,0.101276,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609374,Daphnia pulex,15.1618,0.0989742,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609375,Daphnia pulex,15.1632,0.101096,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609376,Daphnia pulex,16.105,0.101076,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609377,Daphnia pulex,16.4124,0.10098,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609378,Daphnia pulex,15.6007,0.102834,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609379,Daphnia pulex,17.6177,0.101678,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609380,Daphnia pulex,14.3015,0.10018,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609381,Daphnia pulex,15.7523,0.101342,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609382,Daphnia pulex,14.7866,0.10003,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609383,Daphnia pulex,15.7612,0.100447,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609384,Daphnia pulex,17.4093,0.101503,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609385,Daphnia pulex,16.3903,0.100256,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609386,Daphnia pulex,16.5465,0.100523,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609387,Daphnia pulex,13.9157,0.101915,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609388,Daphnia pulex,15.7871,0.101397,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609389,Daphnia pulex,15.6304,0.102376,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609390,Daphnia pulex,16.5608,0.0998237,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609391,Daphnia pulex,17.4316,0.0975956,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609392,Daphnia pulex,15.3475,0.101617,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
PRJNA482684,SAMN09711184,SRR7609393,Daphnia pulex,15.2885,0.103279,96 adults,SRA,N,37.0902,-95.7129,NorthAmerica,NA
