ID,BioProject,BioSample,Run,Organism,lat,lon,counts
1223,PRJNA482684,SAMN09711182,SRR7592792,Daphnia pulex,39.9,-84.92,861
1224,PRJNA482684,SAMN09711182,SRR7592794,Daphnia pulex,39.9,-84.92,861
1225,PRJNA482684,SAMN09711182,SRR7592798,Daphnia pulex,39.9,-84.92,861
1226,PRJNA482684,SAMN09711182,SRR7592801,Daphnia pulex,39.9,-84.92,861
1227,PRJNA482684,SAMN09711182,SRR7592802,Daphnia pulex,39.9,-84.92,861
1228,PRJNA482684,SAMN09711182,SRR7592805,Daphnia pulex,39.9,-84.92,861
1229,PRJNA482684,SAMN09711182,SRR7592806,Daphnia pulex,39.9,-84.92,861
1230,PRJNA482684,SAMN09711182,SRR7592808,Daphnia pulex,39.9,-84.92,861
1231,PRJNA482684,SAMN09711182,SRR7592813,Daphnia pulex,39.9,-84.92,861
1232,PRJNA482684,SAMN09711182,SRR7592815,Daphnia pulex,39.9,-84.92,861
1233,PRJNA482684,SAMN09711182,SRR7592817,Daphnia pulex,39.9,-84.92,861
1234,PRJNA482684,SAMN09711182,SRR7592819,Daphnia pulex,39.9,-84.92,861
1235,PRJNA482684,SAMN09711182,SRR7592823,Daphnia pulex,39.9,-84.92,861
1236,PRJNA482684,SAMN09711185,SRR7593839,Daphnia pulex,42.2,-83.6,861
1237,PRJNA482684,SAMN09711185,SRR7593841,Daphnia pulex,42.2,-83.6,861
1238,PRJNA482684,SAMN09711185,SRR7593842,Daphnia pulex,42.2,-83.6,861
1239,PRJNA482684,SAMN09711185,SRR7593844,Daphnia pulex,42.2,-83.6,861
1240,PRJNA482684,SAMN09711185,SRR7593846,Daphnia pulex,42.2,-83.6,861
1241,PRJNA482684,SAMN09711185,SRR7593848,Daphnia pulex,42.2,-83.6,861
1242,PRJNA482684,SAMN09711185,SRR7593849,Daphnia pulex,42.2,-83.6,861
1243,PRJNA482684,SAMN09711185,SRR7593850,Daphnia pulex,42.2,-83.6,861
1244,PRJNA482684,SAMN09711185,SRR7593851,Daphnia pulex,42.2,-83.6,861
1245,PRJNA482684,SAMN09711185,SRR7593854,Daphnia pulex,42.2,-83.6,861
1246,PRJNA482684,SAMN09711185,SRR7593855,Daphnia pulex,42.2,-83.6,861
1247,PRJNA482684,SAMN09711185,SRR7593857,Daphnia pulex,42.2,-83.6,861
1248,PRJNA482684,SAMN09711185,SRR7593859,Daphnia pulex,42.2,-83.6,861
1249,PRJNA482684,SAMN09711185,SRR7593861,Daphnia pulex,42.2,-83.6,861
1250,PRJNA482684,SAMN09711185,SRR7593863,Daphnia pulex,42.2,-83.6,861
1251,PRJNA482684,SAMN09711185,SRR7593865,Daphnia pulex,42.2,-83.6,861
1252,PRJNA482684,SAMN09711185,SRR7593866,Daphnia pulex,42.2,-83.6,861
1253,PRJNA482684,SAMN09711185,SRR7593869,Daphnia pulex,42.2,-83.6,861
1254,PRJNA482684,SAMN09711185,SRR7593871,Daphnia pulex,42.2,-83.6,861
1255,PRJNA482684,SAMN09711185,SRR7593872,Daphnia pulex,42.2,-83.6,861
1256,PRJNA482684,SAMN09711185,SRR7593874,Daphnia pulex,42.2,-83.6,861
1257,PRJNA482684,SAMN09711185,SRR7593875,Daphnia pulex,42.2,-83.6,861
1258,PRJNA482684,SAMN09711185,SRR7593876,Daphnia pulex,42.2,-83.6,861
1259,PRJNA482684,SAMN09711185,SRR7593878,Daphnia pulex,42.2,-83.6,861
1260,PRJNA482684,SAMN09711185,SRR7593879,Daphnia pulex,42.2,-83.6,861
