vcf	model	NA_pop_est	EU_pop_est	t_est	m_est	theta	file	coeff
filt	split_mig	6.69626221352608	1.0960476448565	9.85397463647369	0.00896452310199816	13390.7187396275	313	4902.87007162695
filt	split_mig	6.76541080039466	1.11269821254501	9.98293279336142	0.00875415328011968	13236.3806502017	324	4846.3608121711
filt	split_mig	6.6992850568288	1.09170246497546	9.85798534191876	0.00899286905552762	13391.8323805858	335	4903.27781948808
filt	split_mig	6.74283717329578	1.10677134089326	9.920205174475	0.00884309017333577	13298.7470096117	336	4869.19559520052
filt	split_mig	6.69133203677968	1.09497363093596	9.83224641648602	0.00889778412031055	13407.5887542621	347	4909.04684910006
filt	split_mig	6.70277093054799	1.09800004372631	9.83636023661392	0.00888200852991507	13391.3829628129	358	4903.1132699227
filt	split_mig	6.7729103679831	1.10034400930215	9.94872504936594	0.00887770133045922	13266.2063934642	369	4857.28119268605
filt	split_mig	6.74148110663428	1.1102532232484	9.92374195250702	0.00871749020053896	13291.7158951919	380	4866.62122700348
filt	split_mig	6.73201379557086	1.10423434503722	9.92481075148415	0.00889029193408005	13309.2119650798	391	4873.02722798761
filt	split_mig	6.78019041668662	1.11029596068917	9.98448823267504	0.00881835305284495	13227.1057744339	402	4842.96491448223
filt	split_mig	6.72887663360336	1.10693768186986	9.95617764463798	0.00888389031887708	13290.9673977413	413	4866.34717257664
filt	split_mig	6.76914929989051	1.1090654971775	9.96438354808244	0.00885407859166169	13249.4616587999	424	4851.15028514934
filt	split_mig	6.75723196416108	1.10523405308443	9.90591964707891	0.00891383101903916	13297.5254529614	435	4868.7483351499
filt	split_mig	6.77775615072052	1.10546050469664	9.97271125047695	0.00886767451919948	13242.3660714549	446	4848.55231087248
filt	split_mig	6.73544704071455	1.10790176322302	9.94419868241427	0.00896733661383081	13292.0679514611	447	4866.75012868376
filt	split_mig	6.75703126280426	1.10513313969556	9.94911121720552	0.00892610360894555	13274.038209452	458	4860.14872929553
filt	split_mig	6.7192675658122	1.10190991919759	9.90347805609112	0.00884354737377057	13334.1423586813	469	4882.15522798816
