vcf	model	NA_pop_est	EU_pop_est	t_est	m_est	theta	file	coeff
filt	split_mig	5.35942804546305	0.873361971980373	9.85798534191879	0.0089928690555276	13391.8323805858	335	4903.27781948806
filt	split_mig	5.3942697386366	0.885417072714604	9.92020517447496	0.00884309017333581	13298.7470096117	336	4869.19559520053
filt	split_mig	5.35306562942373	0.875978904748766	9.832246416486	0.00889778412031057	13407.5887542621	347	4909.04684910007
filt	split_mig	5.36221674443838	0.878400034981049	9.8363602366139	0.00888200852991509	13391.3829628129	358	4903.11326992271
filt	split_mig	5.41832829438647	0.880275207441716	9.94872504936591	0.00887770133045925	13266.2063934642	369	4857.28119268607
filt	split_mig	5.39318488530743	0.888202578598716	9.92374195250702	0.00871749020053896	13291.7158951919	380	4866.62122700348
filt	split_mig	5.38561103645668	0.883387476029772	9.92481075148413	0.00889029193408007	13309.2119650798	391	4873.02722798762
filt	split_mig	5.42415233334928	0.888236768551333	9.98448823267501	0.00881835305284497	13227.1057744339	402	4842.96491448224
filt	split_mig	5.38310130688269	0.885550145495888	9.95617764463799	0.00888389031887706	13290.9673977413	413	4866.34717257663
filt	split_mig	5.4153194399124	0.887252397742002	9.96438354808243	0.00885407859166171	13249.4616587999	424	4851.15028514935
filt	split_mig	5.40578557132887	0.884187242467549	9.90591964707892	0.00891383101903915	13297.5254529614	435	4868.7483351499
filt	split_mig	5.42220492057642	0.884368403757313	9.97271125047696	0.00886767451919947	13242.3660714549	446	4848.55231087247
filt	split_mig	5.38835763257163	0.886321410578416	9.94419868241425	0.00896733661383083	13292.0679514611	447	4866.75012868377
filt	split_mig	5.40562501024339	0.884106511756447	9.94911121720549	0.00892610360894558	13274.038209452	458	4860.14872929555
filt	split_mig	5.37541405264974	0.881527935358073	9.90347805609109	0.0088435473737706	13334.1423586813	469	4882.15522798817
filt	split_mig	5.34542762658047	0.879978970472141	9.81592622327112	0.00875875663216889	13416.588834386	480	4912.34213326963
filt	split_mig	5.39833406174692	0.887253463190029	9.95159704275862	0.00891374479412005	13275.2168452637	491	4860.58027433498
filt	split_mig	5.43881738131788	0.88650894685411	9.96845223280947	0.00864714678665087	13220.8230860793	502	4840.66457457502
filt	split_mig	5.42089616263353	0.889897894658498	9.98879522605889	0.00874924551615935	13224.5412656396	513	4842.0259467046
filt	split_mig	5.41413390310672	0.887953333032854	9.97387739378978	0.00878939429259741	13243.4280654044	524	4848.94114872745
filt	split_mig	5.38522672022313	0.885600753953697	9.91325373809024	0.00890502995719414	13312.7781453857	535	4874.33294719746
filt	split_mig	5.40768935019672	0.88705484778927	9.94617697279907	0.00878155613055361	13266.7612115174	546	4857.48433344955
filt	split_mig	5.39314637099121	0.881411569777624	9.92616252513043	0.00888700425253226	13303.5617863269	557	4870.95847478284
filt	split_mig	5.38933999582165	0.883427207919741	9.92185390536102	0.00881573518513755	13305.7594511635	558	4871.76312652442
filt	split_mig	5.42735430109783	0.887012083640875	9.98722223985252	0.00867934884912483	13222.1249915197	569	4841.14125348554
filt	split_mig	5.4147865376012	0.889508752747446	9.96254117116137	0.00881037600003242	13246.876904108	580	4850.20390455038
filt	split_mig	5.43278556560218	0.886753184423099	9.97356180969854	0.0088303451491402	13226.5956956555	591	4842.77815453116
filt	split_mig	5.44268710804859	0.882821845140579	9.98192766317355	0.00914991305081941	13222.4868996501	602	4841.27376232063
filt	split_mig	5.36435067970163	0.878677141445759	9.84056650933162	0.00884363518130088	13385.7300361538	613	4901.04351060113
filt	split_mig	5.44045542512491	0.89101263363579	9.98336799606114	0.00869474009572539	13204.6369021066	624	4834.73817446785
filt	split_mig	5.38889081348119	0.882296681727145	9.94919841451088	0.00887352230178665	13293.6781756294	635	4867.33969523631
filt	split_mig	5.37175702022225	0.886019973203801	9.89223269136288	0.00887858871802101	13337.7202266834	646	4883.46522652438
filt	split_mig	5.41923947767553	0.887285569472676	9.97792953069064	0.00886225447571781	13237.9671421887	657	4846.9416894364
filt	split_mig	5.41140159786515	0.88558938629234	9.94497329405231	0.00884147714913862	13266.7014758736	668	4857.46246187522
filt	split_mig	5.43390337253577	0.878198831941034	9.97164564227483	0.00897883657077161	13241.9896263151	669	4848.41447946511
filt	split_mig	5.37459187135255	0.88231816631612	9.920491212222	0.00902912718273176	13327.0074646163	680	4879.5428619714
filt	split_mig	5.36609328616506	0.881645640733809	9.90304674219686	0.00890603482015884	13345.0167895486	691	4886.13678586284
